Timestamp,IBI
[1.72615805e+09],[875.]
[1.72615805e+09],[866.]
[1.72615805e+09],[829.]
[1.72615806e+09],[851.]
[1.72615806e+09],[901.]
[1.72615806e+09],[923.]
[1.72615806e+09],[888.]
[1.72615806e+09],[916.]
[1.72615806e+09],[938.]
[1.72615806e+09],[940.]
[1.72615806e+09],[884.]
[1.72615806e+09],[900.]
[1.72615806e+09],[893.]
[1.72615806e+09],[886.]
[1.72615806e+09],[854.]
[1.72615807e+09],[882.]
[1.72615807e+09],[914.]
[1.72615807e+09],[936.]
[1.72615807e+09],[891.]
[1.72615807e+09],[919.]
[1.72615807e+09],[927.]
[1.72615807e+09],[925.]
[1.72615807e+09],[877.]
[1.72615807e+09],[899.]
[1.72615807e+09],[900.]
[1.72615807e+09],[903.]
[1.72615808e+09],[874.]
[1.72615808e+09],[896.]
[1.72615808e+09],[917.]
[1.72615808e+09],[908.]
[1.72615808e+09],[880.]
[1.72615808e+09],[892.]
[1.72615808e+09],[903.]
[1.72615808e+09],[904.]
[1.72615808e+09],[883.]
[1.72615808e+09],[899.]
[1.72615808e+09],[916.]
[1.72615809e+09],[895.]
[1.72615809e+09],[873.]
[1.72615809e+09],[893.]
[1.72615809e+09],[915.]
[1.72615809e+09],[907.]
[1.72615809e+09],[861.]
[1.72615809e+09],[831.]
[1.72615809e+09],[855.]
[1.72615809e+09],[873.]
[1.72615809e+09],[913.]
[1.72615809e+09],[887.]
[1.7261581e+09],[877.]
[1.7261581e+09],[901.]
[1.7261581e+09],[909.]
[1.7261581e+09],[895.]
[1.7261581e+09],[866.]
[1.7261581e+09],[881.]
[1.7261581e+09],[869.]
[1.7261581e+09],[836.]
[1.7261581e+09],[769.]
[1.7261581e+09],[760.]
[1.7261581e+09],[776.]
[1.7261581e+09],[813.]
[1.72615811e+09],[790.]
[1.72615811e+09],[819.]
[1.72615811e+09],[846.]
[1.72615811e+09],[875.]
[1.72615811e+09],[831.]
[1.72615811e+09],[834.]
[1.72615811e+09],[846.]
[1.72615811e+09],[885.]
[1.72615811e+09],[890.]
[1.72615811e+09],[868.]
[1.72615811e+09],[869.]
[1.72615811e+09],[886.]
[1.72615812e+09],[872.]
[1.72615812e+09],[821.]
[1.72615812e+09],[863.]
[1.72615812e+09],[899.]
[1.72615812e+09],[935.]
